datetime_year,datetime_month,datetime_day,datetime_hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Count
2011,1,20,0,1,0,1,1,10.66,11.365,56,26.0027,177.348
2011,1,20,1,1,0,1,1,10.66,13.635,56,0.0,558.712
2011,1,20,2,1,0,1,1,10.66,13.635,56,0.0,148.608
2011,1,20,3,1,0,1,1,10.66,12.88,56,11.0014,144.424
2011,1,20,4,1,0,1,1,10.66,12.88,56,11.0014,144.424
2011,1,20,5,1,0,1,1,9.84,11.365,60,15.0013,144.424
2011,1,20,6,1,0,1,1,9.02,10.605,60,15.0013,144.424
2011,1,20,7,1,0,1,1,9.02,10.605,55,15.0013,144.424
2011,1,20,8,1,0,1,1,9.02,10.605,55,19.0012,144.424
2011,1,20,9,1,0,1,2,9.84,11.365,52,15.0013,132.936
2011,1,20,10,1,0,1,1,10.66,11.365,48,19.9995,144.424
2011,1,20,11,1,0,1,2,11.48,13.635,45,11.0014,132.936
2011,1,20,12,1,0,1,2,12.3,16.665,42,0.0,136.796
2011,1,20,13,1,0,1,2,11.48,14.395,45,7.0015,132.936
2011,1,20,14,1,0,1,2,12.3,15.15,45,8.9981,132.936
2011,1,20,15,1,0,1,2,13.12,15.91,45,12.998,132.936
2011,1,20,16,1,0,1,2,12.3,15.15,49,8.9981,132.936
2011,1,20,17,1,0,1,2,12.3,15.91,49,7.0015,132.936
2011,1,20,18,1,0,1,2,10.66,12.88,56,12.998,132.936
2011,1,20,19,1,0,1,1,10.66,11.365,56,22.0028,144.424
2011,1,20,20,1,0,1,2,10.66,12.12,60,19.0012,132.936
2011,1,20,21,1,0,1,2,9.84,11.365,60,16.9979,132.936
2011,1,20,22,1,0,1,2,9.84,10.605,65,19.0012,132.936
2011,1,20,23,1,0,1,2,9.84,10.605,65,22.0028,132.936
2011,1,21,0,1,0,1,2,9.84,11.365,70,16.9979,139.92
2011,1,21,1,1,0,1,2,9.84,11.365,70,16.9979,519.64
2011,1,21,2,1,0,1,3,9.84,12.12,75,11.0014,132.936
2011,1,21,3,1,0,1,3,9.02,10.605,80,19.9995,132.936
2011,1,21,4,1,0,1,2,9.02,12.88,87,6.0032,132.936
2011,1,21,5,1,0,1,1,9.84,9.85,60,27.9993,144.424
2011,1,21,6,1,0,1,1,9.02,10.605,55,16.9979,144.424
2011,1,21,7,1,0,1,1,8.2,9.09,51,19.0012,144.424
2011,1,21,8,1,0,1,1,8.2,9.09,47,22.0028,144.424
2011,1,21,9,1,0,1,1,8.2,9.09,51,23.9994,144.424
2011,1,21,10,1,0,1,1,8.2,8.335,47,31.0009,144.424
2011,1,21,11,1,0,1,1,9.02,9.09,41,31.0009,144.424
2011,1,21,12,1,0,1,1,9.02,9.09,27,39.0007,144.424
2011,1,21,13,1,0,1,1,8.2,7.575,21,39.0007,144.424
2011,1,21,14,1,0,1,1,8.2,7.575,25,35.0008,144.424
2011,1,21,15,1,0,1,1,6.56,6.06,26,30.0026,144.424
2011,1,21,16,1,0,1,1,6.56,6.82,26,23.9994,144.424
2011,1,21,17,1,0,1,1,5.74,6.06,28,23.9994,144.424
2011,1,21,18,1,0,1,1,4.92,6.06,30,16.9979,144.424
2011,1,21,19,1,0,1,1,4.92,5.305,30,22.0028,144.424
2011,1,21,20,1,0,1,1,4.1,3.79,33,27.9993,144.424
2011,1,21,21,1,0,1,1,3.28,3.79,38,19.0012,144.424
2011,1,21,22,1,0,1,1,2.46,1.515,41,26.0027,144.388
2011,1,21,23,1,0,1,1,2.46,2.275,38,22.0028,144.424
2011,1,22,0,1,0,0,1,1.64,1.515,45,16.9979,178.64
2011,1,22,1,1,0,0,2,1.64,0.0,41,26.0027,469.284
2011,1,22,2,1,0,0,2,1.64,1.515,41,16.9979,128.364
2011,1,22,3,1,0,0,2,1.64,1.515,41,19.0012,128.364
2011,1,22,4,1,0,0,2,0.82,0.76,48,19.9995,133.008
2011,1,22,6,1,0,0,2,0.82,1.515,44,15.0013,128.832
2011,1,22,7,1,0,0,1,0.82,0.76,44,19.0012,148.44
2011,1,22,8,1,0,0,1,0.82,0.0,44,22.0028,96.032
2011,1,22,9,1,0,0,1,1.64,1.515,41,16.9979,138.552
2011,1,22,10,1,0,0,2,1.64,3.03,41,11.0014,128.06
2011,1,22,11,1,0,0,2,2.46,3.79,38,8.9981,132.936
2011,1,22,12,1,0,0,2,2.46,5.305,38,7.0015,132.936
2011,1,22,13,1,0,0,1,3.28,8.335,35,0.0,148.608
2011,1,22,14,1,0,0,1,4.1,6.82,33,7.0015,144.424
2011,1,22,15,1,0,0,1,4.92,7.575,28,0.0,148.608
2011,1,22,16,1,0,0,1,4.92,6.82,28,12.998,144.424
2011,1,22,17,1,0,0,1,4.92,9.85,28,0.0,148.608
2011,1,22,18,1,0,0,1,3.28,4.545,35,12.998,144.424
2011,1,22,19,1,0,0,1,3.28,5.305,35,8.9981,144.424
2011,1,22,20,1,0,0,1,2.46,3.79,45,11.0014,144.424
2011,1,22,21,1,0,0,1,2.46,5.305,41,6.0032,144.424
2011,1,22,22,1,0,0,1,2.46,7.575,49,0.0,148.608
2011,1,22,23,1,0,0,1,1.64,3.79,57,7.0015,139.548
2011,1,23,0,1,0,0,1,1.64,3.79,57,7.0015,178.352
2011,1,23,1,1,0,0,1,1.64,3.79,57,7.0015,537.824
2011,1,23,2,1,0,0,1,0.82,3.03,62,8.9981,142.272
2011,1,23,3,1,0,0,1,0.82,3.03,62,8.9981,142.272
2011,1,23,5,1,0,0,2,1.64,3.79,57,7.0015,128.06
2011,1,23,6,1,0,0,2,1.64,3.79,57,7.0015,128.06
2011,1,23,7,1,0,0,1,3.28,5.305,58,11.0014,144.424
2011,1,23,8,1,0,0,1,2.46,3.79,62,11.0014,144.424
2011,1,23,9,1,0,0,1,4.1,3.79,54,23.9994,144.424
2011,1,23,10,1,0,0,1,5.74,5.305,46,26.0027,144.424
2011,1,23,11,1,0,0,1,5.74,6.82,43,15.0013,144.424
2011,1,23,12,1,0,0,1,6.56,6.06,37,31.0009,144.424
2011,1,23,13,1,0,0,1,5.74,5.305,33,26.0027,144.424
2011,1,23,14,1,0,0,1,6.56,6.82,28,23.9994,144.424
2011,1,23,15,1,0,0,1,6.56,6.82,28,23.9994,144.424
2011,1,23,16,1,0,0,1,6.56,6.82,26,22.0028,144.424
2011,1,23,17,1,0,0,1,5.74,5.305,26,26.0027,144.424
2011,1,23,18,1,0,0,1,4.92,6.06,30,16.9979,144.424
2011,1,23,19,1,0,0,1,4.92,6.06,30,19.0012,144.424
2011,1,23,20,1,0,0,1,4.1,5.305,36,16.9979,144.424
2011,1,23,21,1,0,0,1,4.1,5.305,36,12.998,144.424
2011,1,23,22,1,0,0,1,3.28,4.545,38,12.998,144.424
2011,1,23,23,1,0,0,1,2.46,3.03,41,15.0013,144.424
2011,1,24,0,1,0,1,1,2.46,3.03,41,12.998,177.348
2011,1,24,1,1,0,1,1,1.64,2.275,45,12.998,537.824
2011,1,24,3,1,0,1,1,1.64,1.515,45,16.9979,138.552
2011,1,24,4,1,0,1,1,0.82,3.03,48,8.9981,142.272
2011,1,24,5,1,0,1,1,0.82,3.03,48,8.9981,142.272
2011,1,24,6,1,0,1,1,0.82,3.79,48,6.0032,142.272
2011,1,24,7,1,0,1,1,0.82,6.06,48,0.0,144.96
2011,1,24,8,1,0,1,1,1.64,6.82,49,0.0,143.672
2011,1,24,9,1,0,1,1,2.46,7.575,41,0.0,148.608
2011,1,24,10,1,0,1,1,4.1,6.82,42,0.0,148.608
2011,1,24,11,1,0,1,1,4.1,6.06,46,8.9981,144.424
2011,1,24,12,1,0,1,2,4.92,6.82,42,12.998,132.936
2011,1,24,13,1,0,1,2,5.74,6.82,43,15.0013,132.936
2011,1,24,14,1,0,1,2,5.74,6.82,46,15.0013,132.936
2011,1,24,15,1,0,1,1,6.56,8.335,40,11.0014,144.424
2011,1,24,16,1,0,1,1,6.56,7.575,47,16.9979,144.424
2011,1,24,17,1,0,1,1,5.74,6.06,50,16.9979,144.424
2011,1,24,18,1,0,1,1,5.74,6.82,59,12.998,144.424
2011,1,24,19,1,0,1,1,5.74,7.575,54,11.0014,144.424
2011,1,24,20,1,0,1,1,5.74,6.82,59,12.998,144.424
2011,1,24,21,1,0,1,1,5.74,7.575,63,11.0014,144.424
2011,1,24,22,1,0,1,2,5.74,6.82,63,15.0013,132.936
2011,1,24,23,1,0,1,2,6.56,7.575,64,16.9979,132.936
2011,1,25,0,1,0,1,2,6.56,6.82,69,19.0012,139.92
2011,1,25,1,1,0,1,2,6.56,8.335,69,11.0014,519.64
2011,1,25,2,1,0,1,1,6.56,7.575,69,15.0013,144.424
2011,1,25,4,1,0,1,1,5.74,8.335,74,7.0015,144.424
2011,1,25,5,1,0,1,1,5.74,6.82,74,15.0013,144.424
2011,1,25,6,1,0,1,1,6.56,9.09,74,7.0015,144.424
2011,1,25,7,1,0,1,1,6.56,7.575,74,15.0013,144.424
2011,1,25,8,1,0,1,2,6.56,9.09,74,8.9981,132.936
2011,1,25,9,1,0,1,2,8.2,11.365,64,6.0032,132.936
2011,1,25,10,1,0,1,2,9.02,12.12,60,7.0015,132.936
2011,1,25,11,1,0,1,2,9.84,12.12,60,8.9981,132.936
2011,1,25,12,1,0,1,2,10.66,14.395,56,6.0032,132.936
2011,1,25,13,1,0,1,2,10.66,13.635,56,8.9981,132.936
2011,1,25,14,1,0,1,2,12.3,16.665,45,0.0,136.796
2011,1,25,15,1,0,1,2,13.12,17.425,42,0.0,136.796
2011,1,25,16,1,0,1,2,13.12,17.425,42,0.0,136.796
2011,1,25,17,1,0,1,1,12.3,16.665,45,0.0,148.608
2011,1,25,18,1,0,1,2,12.3,15.91,49,6.0032,132.936
2011,1,25,19,1,0,1,2,10.66,12.88,65,11.0014,132.936
2011,1,25,20,1,0,1,1,9.84,11.365,65,12.998,144.424
2011,1,25,21,1,0,1,1,9.84,11.365,65,12.998,144.424
2011,1,25,22,1,0,1,1,9.02,11.365,64,11.0014,144.424
2011,1,25,23,1,0,1,2,9.02,11.365,64,11.0014,132.936
2011,1,26,0,1,0,1,2,9.02,11.365,69,8.9981,139.92
2011,1,26,1,1,0,1,2,9.84,12.12,65,8.9981,519.64
2011,1,26,2,1,0,1,3,9.02,11.365,69,12.998,132.936
2011,1,26,5,1,0,1,3,8.2,9.09,86,19.0012,132.936
2011,1,26,6,1,0,1,3,8.2,9.09,86,19.0012,132.936
2011,1,26,7,1,0,1,3,9.02,10.605,87,19.9995,132.936
2011,1,26,8,1,0,1,3,9.02,10.605,87,19.9995,132.936
2011,1,26,9,1,0,1,3,9.02,10.605,87,19.9995,132.936
2011,1,26,10,1,0,1,3,9.02,10.605,93,19.0012,132.936
2011,1,26,11,1,0,1,3,9.02,9.85,93,22.0028,132.936
2011,1,26,12,1,0,1,3,9.02,9.85,93,22.0028,132.936
2011,1,26,13,1,0,1,3,9.02,9.85,93,22.0028,132.936
